dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22,dim23,dim24,dim25,dim26,dim27,dim28,dim29,dim30,dim31,dim32,dim33,dim34,dim35,dim36,dim37,dim38,dim39,dim40,dim41,dim42,dim43,dim44,dim45,dim46,dim47,dim48,dim49,dim50,dim51,dim52,dim53,dim54,dim55,dim56,dim57,dim58,dim59,dim60
0.031675164,-0.19084097,-0.19258352,-0.40489438,0.09360741,-0.07852362,-0.2629436,0.18924445,-0.19774248,-0.25984645,0.26517484,0.12219046,0.2893891,-0.04726015,-0.079252,0.30602938,0.15110302,-0.27379948,-1.8791503,0.071701646,-0.11096425,-0.0032536928,-0.30097294,-0.012521058,-0.13681257,-0.060738984,0.014903337,-0.15753649,-0.006600949,0.4888547,0.7291453,0.40654463,-0.015878528,0.29223517,0.5859565,0.16955888,-0.17389552,-0.42311352,0.18059474,-0.04580319,-0.06758923,-0.26188526,0.1078167,-0.25557908,0.062561445,0.32203457,-0.034061473,0.16388881,0.27359775,-0.27325562,0.32989213,-0.16479294,-0.024224943,0.029855538,0.06313204,0.1312854,-0.012080427,-0.48661578,-0.24341322,0.11103625
0.15587032,0.16121545,-0.15560114,-0.10457186,0.4440552,0.06724021,0.1361815,0.13836841,0.0050942115,0.07435424,0.078836136,0.18117815,0.5388145,-0.1695909,-0.24289326,-0.14484662,-0.09605986,-0.06637423,0.8551218,0.060764164,-0.05660364,0.39306456,-0.28896293,0.09175082,-0.55993176,-0.45443422,0.31951502,0.12121998,-0.22016466,-0.097743765,0.63745344,-0.52539325,-0.041012183,0.22115135,-1.1273129,-0.04810863,-0.20205738,-0.14867598,-0.16475531,-0.4399236,0.3167392,0.026000768,0.23755184,-0.21394417,0.09707077,0.21320993,0.011900153,0.19991072,-0.043001115,-0.41902944,-0.05295961,0.087220825,-0.2020163,0.24165356,-0.12698478,-0.24477133,-0.10677023,-1.2245034,-0.19881232,0.04370673
0.050778024,-0.21009222,-0.14251254,0.23875436,0.15401886,-0.03717971,0.20824444,0.04547688,-0.05006716,-0.27780694,0.13062748,0.031739958,0.03521264,0.122778036,0.056509413,-0.18526188,-0.111203775,-0.25042075,-1.6219943,-0.1434442,-0.1042386,-0.0644216,-0.15773737,0.018744148,-0.016734809,-0.21178737,0.21806505,-0.2988152,-0.07589324,-0.080724,0.27678937,-0.0023157373,-0.028549127,0.02779477,-1.2322048,-0.35661063,-0.4532265,0.07759802,-0.18923514,-0.01120688,-0.09786521,0.2991321,-0.0016616583,-0.0069043227,-0.21438922,0.13725889,0.025861185,-0.012417852,-0.1841755,0.17171842,0.18035099,0.27768666,0.22604287,0.18814442,-0.14431348,-0.13728312,0.117367744,-0.08181853,-0.3069606,0.13574821
-0.105883256,0.100007296,0.04171667,0.3118667,-0.11574236,-0.114523046,-0.19575584,0.052034497,0.028812323,0.008894481,-0.039680623,-0.058976762,0.18630147,0.124095105,-0.04782276,-0.10148364,-0.39538583,-0.48383552,-0.99540734,-0.2450609,0.16954899,-0.06822011,-0.18249488,0.014588021,-0.1585209,-0.4949669,-0.21348423,0.16908295,0.110559955,0.17947136,0.6255813,0.26663527,0.39189315,-0.011772484,0.11362597,-0.8830077,-0.35029376,-0.4344399,-0.07433748,-0.4691517,0.06956628,0.021560483,-0.22820991,0.06129775,0.0039226487,-0.007668039,-0.029975202,-0.19053166,0.011188587,0.13011605,-0.95525527,-0.1401353,0.16491303,0.30894816,0.0012637749,0.36674175,0.1588674,-0.90915614,-0.46218866,-0.05046443
-0.23443024,0.13555942,0.16452724,0.24901018,-0.46584922,-0.13352156,0.024642756,-0.12867805,0.18957402,-0.055711657,0.11041264,-0.21034913,-0.050609104,0.11304531,-0.021775523,0.113335826,-0.17346343,-0.07671407,-1.6839993,-0.0016765334,0.14029905,-0.0023809522,-0.014124334,0.16986471,-0.15742019,-0.15799122,0.54343516,-0.15409917,0.0083988095,0.0151575785,0.064216465,0.03129814,0.05712942,0.391392,-0.33205366,-0.0096538365,-0.16245928,-0.29939094,0.18757907,-0.69613624,0.21353464,0.25322643,-0.1201176,0.44914097,0.05064679,-0.017419701,0.19796044,0.018322881,0.008778444,0.21940234,-0.10271252,0.18641178,0.17158209,0.052447878,0.15293863,0.013027903,-0.028914925,-0.7607835,-0.2610551,0.1768653
-0.14257659,0.22264265,0.18840583,0.23149106,-0.34285066,-0.18875079,0.2564322,-0.19623049,0.0334819,-0.059542708,-0.12218663,-0.2372983,-0.2850708,0.048005946,0.059641138,-0.10845661,0.14803755,0.1537621,0.42379263,0.08696249,0.0016918816,0.09478512,-0.009679608,0.1013863,-0.1691373,-0.036473338,0.7558206,-0.219025,-0.10516004,-0.2731836,-0.6097705,-0.5883511,-0.15225065,0.2074407,-0.5594449,0.37304887,-0.08338243,0.0833029,-0.0081876535,-0.20982257,0.2523394,0.4982947,0.09281759,0.4327798,-0.13039991,-0.15794967,0.16315112,0.06233148,0.041001238,0.29400092,0.19832887,0.45922002,0.076666124,0.061702296,0.1836195,-0.29821008,-0.2075753,0.068953246,-0.035042357,0.039179783
-0.07984106,0.06928535,0.07026109,-0.3624003,0.6950172,0.19192623,-0.05833785,0.53241146,0.05503201,0.22857326,-0.23207545,0.6048465,0.1280366,0.0065050516,-0.08500724,-0.004538986,-0.12127593,-0.07230997,-0.3217253,-0.09934126,0.15087403,0.0826249,0.39774072,-0.11837471,0.19711733,0.19255623,-0.33550224,-0.10390657,0.09327042,0.3141727,-0.4555763,-0.022082623,0.32722646,-0.21598583,-1.0203298,-0.10956999,0.00945387,-0.07329,0.1600283,0.44601128,0.2721832,-0.260336,0.10713091,-0.13642332,-0.120989844,0.23627065,0.066882074,0.07992532,-0.0021804513,-0.56968516,-1.181483,-0.006743467,-0.13979319,0.16344097,0.11694174,0.22989431,-0.030590083,-0.59719,0.071134716,-0.067401275
0.02152592,0.19962871,-0.11332388,0.13178408,-0.11893625,0.010965964,-0.12307871,-0.10355686,-0.020958487,-0.060485788,-0.029591141,-0.14748125,-0.051663946,-0.049468055,0.0988924,0.04625641,-0.15759915,0.15117544,0.3695743,0.21334492,0.09476797,0.1320555,-0.0031121299,0.24757469,-0.28817174,-0.07115123,-0.28756192,0.12244971,0.017387323,-0.068819724,-0.5892414,-0.6882742,0.1235585,-0.01913011,-0.6532918,0.113398574,0.24970084,-0.3884344,-0.1434963,0.013001867,0.4031102,0.05619795,0.006901795,0.4419353,0.11995134,-0.24949025,-0.033590518,-0.063002646,0.34418318,0.25306752,-1.1564647,-0.051306386,-0.09152666,0.09869666,0.08975207,-0.097233966,-0.141085,0.22278528,-0.19768609,-0.23795648
-0.08458717,0.037074283,0.054861117,0.012309924,-0.25608036,-0.13577978,0.0015288268,0.044367153,0.076683804,-0.17586651,-0.14150827,-0.12390256,-0.18244871,0.12981132,-0.075670645,0.23428616,0.019224305,0.16810414,0.36707845,0.087225586,-0.0888467,-0.13299754,-0.12797982,-0.00329078,0.055142865,0.13803181,0.22965384,-0.35443917,0.060715333,-0.051299907,-0.8392844,-0.2733462,0.12618013,0.15491214,-0.55846643,0.18513307,0.2424781,-0.26339304,0.1308086,0.83094096,0.24181919,0.33222786,0.05374198,1.2003235,-0.06950716,-0.1849717,-0.011375483,0.052314725,0.22031726,0.2482396,-0.43896022,0.00070830574,0.17691885,0.083947115,0.2830221,-0.13813542,-0.032731574,1.1353513,-0.3187748,0.031816706
0.024724536,0.01566971,-0.04666208,0.04588387,-0.30321252,-0.027658751,0.14346194,0.0028100498,0.09998605,-0.12376819,0.09334518,-0.1703703,0.17164266,-0.09367884,-0.019496197,0.04665898,0.12843949,0.084848136,0.8234521,0.3298679,-0.08459669,0.15232936,-0.30648252,0.21248835,-0.33077568,-0.23832735,0.9403236,0.2619056,-0.17253612,-0.14346468,0.46533808,-0.6758137,0.059932627,0.19334906,-0.12925121,0.28101274,0.087706536,-0.2936961,0.2563598,-0.63217425,0.3965531,0.00034797192,0.04333297,0.82496244,0.24831133,-0.2800515,-0.061245177,0.08053295,-0.19602501,-0.048782934,0.027535532,-0.26313156,-0.03277117,0.10359088,0.15164497,-0.089672446,-0.26564744,-0.698476,-0.29424194,0.3471836
0.029667318,-0.047628842,-0.06289339,-0.056238547,0.052736476,-0.07983661,0.45156175,0.18481773,-0.05779719,-0.16834685,0.19843724,-0.19019218,-0.09745823,0.018392734,0.23033524,-0.37509152,0.24046502,-0.021812718,-1.4436269,0.03614525,-0.33865473,0.122957334,-0.12464721,-0.19040078,0.14728065,-0.08962911,0.6695823,0.18072635,0.10040492,-0.09453573,0.25674313,-0.22578934,-0.3108977,0.17809525,0.6396531,-0.09902378,-0.40647513,0.11885869,0.12978564,0.07831898,-0.1527414,-0.028527386,0.047355168,-1.0602728,-0.1842617,-0.061848544,0.09335914,0.038161416,-0.3792039,-0.24715987,0.45093575,0.37836614,0.08921053,0.086282074,0.19748265,-0.09629618,0.083151676,-0.27394405,-0.14723681,0.36460125
-0.110086665,0.040100783,0.17960949,0.0917624,-0.36942267,-0.014832145,-0.3247698,-0.08808766,0.19588919,0.09599619,-0.04746223,0.026765797,0.12464494,0.07641654,-0.14004262,0.0876217,-0.52965194,-0.058384124,1.690614,-0.18867898,0.3503317,-0.31313136,0.1955874,0.12166699,0.18228099,0.07581508,-0.08703956,0.15508789,0.14851412,0.113803886,0.65632385,0.6080846,0.33424175,0.15610707,0.64390886,-0.53532654,0.16998798,-0.20524465,0.047292873,-0.6719475,0.122583196,-0.13158503,-0.18016905,0.96985525,0.13786657,-0.015975734,-0.029313404,-0.15265611,0.0039580446,0.19211105,-0.35790923,-0.30474102,0.09975272,-0.16210589,0.073736615,0.3698729,-0.010331262,-0.61734706,0.035432193,0.07978451
-0.11564915,-0.0219152,-0.16245456,0.1330382,0.12497889,0.07295986,0.03738806,0.123673424,0.084559485,0.10112123,0.08141993,0.032935396,0.23617713,-0.023592977,-0.018761503,0.10317415,-0.24842751,-0.098223984,-2.1500688,0.03837377,0.2273625,0.054122716,0.14569595,0.13570401,-0.019345514,-0.24440202,-0.02521116,0.037863627,-0.104777694,0.23420571,-0.11098547,-0.016922854,0.299998,0.039677687,-1.0189852,-0.25245214,0.074149966,-0.42931804,0.09810812,-0.43868747,0.214862,-0.1266537,-0.043921046,0.1700428,-0.0018815082,0.0044078473,0.10849962,0.012707683,-0.07341308,-0.10535823,-0.96220666,-0.15277009,-0.1927676,0.1446049,0.049540207,0.3352015,0.05658472,-0.80560476,-0.15737969,0.11857958
-0.16316195,0.13678916,-0.2807418,0.05181378,-0.30190477,0.0030806232,0.18930589,-0.1859167,-0.13215904,0.06693625,0.041289486,-0.11534551,0.0033887727,0.039657578,-0.106331885,-0.12138803,0.12832288,0.16827649,0.30045566,0.37983638,0.16346173,0.32849163,-0.20872676,0.2340748,-0.37109047,-0.21102957,0.73980725,0.4709281,-0.11604929,-0.21211419,0.0214775,-0.91967523,0.044261493,0.07002257,0.18555935,0.57433474,0.30234334,0.036699444,0.31355447,-0.767148,0.29794466,0.007865563,0.12293153,-0.25003633,0.30263937,-0.2465858,-0.23538607,0.099998236,-0.13247484,-0.015867982,0.26290792,-0.15986876,-0.0041372254,-0.029361032,0.17012966,-0.1543929,-0.38505942,-0.83226174,0.0115002245,0.16226646
